report_id,timestamp,text,category,severity,duplicate_of
RPT-0093,2026-09-02 19:03:00,"Network monitoring flagged unusually high data transfer from one workstation late last night, well outside anyone's normal working hours, we haven't confirmed what it was yet",suspicious_activity,medium,
RPT-0046,2026-09-03 07:27:00,"all the files for accounting don change to one weird extension we no fit open, e get one note wey ask for money before dem go 'release' the files",malware,high,
RPT-0060,2026-09-03 10:03:00,"A file that was supposed to be a scanned document turned out to be an executable, someone in procurement opened it before realizing, their machine has since been isolated from the network.",malware,high,
RPT-0124,2026-09-03 11:27:00,"just got a call from someone claiming to be from the telecom provider saying my SIM will be deactivated unless I share the code that was just sent to my phone. Hung up immediately, did not share anything.",phishing,low,
RPT-0091,2026-09-03 21:05:00,One of the security cameras near the data center caught someone lingering by the server racks after hours who doesn't match any of our staff badges,suspicious_activity,medium,
RPT-0176,2026-09-03 23:16:00,"The library's public computers have all been showing the same browser redirect issue for two days, students keep reporting it but IT support hasn't gotten to it yet",malware,low,
RPT-0217,2026-09-04 00:18:00,"small alert, an email account that should have been fully deactivated after a staff member's exit somehow still shows as 'active' in the system directory",suspicious_activity,low,
RPT-0131,2026-09-04 05:23:00,"small thing, got a text message with a link claiming to be from the electricity company about an overdue bill, didn't click, we don't even have a meter registered with that name",phishing,low,
RPT-0206,2026-09-04 05:56:00,Not sure if related but our building's visitor logbook has a signature for today that doesn't match any scheduled appointment or known visitor,suspicious_activity,low,
RPT-0097,2026-09-04 08:17:00,"nothing confirmed yet but three different departments reported their systems freezing briefly around the same time this morning, might be unrelated but wanted to log it",suspicious_activity,low,
RPT-0219,2026-09-04 09:37:00,"The building's fire exit door, which has an alarm, was found propped open with no alarm triggered, unclear if the sensor failed or if it was intentionally bypassed",suspicious_activity,medium,
RPT-0182,2026-09-04 11:35:00,"just found that our contact form on the website has been emailing submitted responses, including phone numbers, to an old staff member's email that's no longer monitored",data_leak,medium,
RPT-0059,2026-09-04 11:58:00,"na today we notice say two computers for the ICT lab dey do the same strange thing, screen dey flicker and files dey disappear one by one",malware,high,
RPT-0215,2026-09-04 13:32:00,"Just noting, the office's smart thermostat has been adjusting itself outside of the programmed schedule for the past few days, might just be a software glitch but wanted to log it",suspicious_activity,low,
RPT-0077,2026-09-04 13:59:00,"A vendor we integrated with for SMS notifications appears to have pulled more customer phone numbers than their contract allows, way beyond what a normal notification batch would need",data_leak,medium,
RPT-0179,2026-09-04 22:01:00,"Two departments reported nearly identical ransomware notes appearing on their shared drives within an hour of each other today, IT believes it originated from a single infected email attachment that both departments received",malware,high,
RPT-0051,2026-09-04 22:04:00,"Wetin be this, my printer just dey print random pages by itself since yesterday, no be only my own, another office get the same wahala",malware,low,
RPT-0063,2026-09-04 23:09:00,"This is serious, ransomware has spread to four machines in the finance wing since this morning and IT thinks it's still moving through the network, payroll processing is now at risk",malware,high,
RPT-0180,2026-09-05 05:33:00,"The office WiFi router seems to have unusual outbound traffic overnight according to the ISP's alert, nobody was in the building at that time, checking if the router firmware itself might be compromised",malware,medium,
RPT-0010,2026-09-05 06:57:00,"got an sms claiming to be from the university saying I won a scholarship, just need to click a link and pay a small verification fee. obviously fake, did not engage",phishing,low,
RPT-0123,2026-09-05 11:17:00,A junior staff member entered their username and password into a cloned version of our intranet login page after clicking a link in what looked like an internal memo. We caught it within the hour and forced a password reset.,phishing,high,
RPT-0039,2026-09-05 13:18:00,"just a small one, saw a login from a browser I don't use on my account activity page, changed password just to be safe, no other issues noticed",account_takeover,low,
RPT-0015,2026-09-05 14:20:00,"Report: received email today at 9:14am impersonating IT department, asked me to reset password via attached link. Did not click. Screenshot attached separately.",phishing,low,
RPT-0041,2026-09-05 17:38:00,"Somebody hack enter my email and don start to send message to my contact list asking them for money, my own cousin almost send money before I call am to confirm",account_takeover,high,
RPT-0065,2026-09-05 22:19:00,"Confirmed malware on the shared research computer in the biology lab, it appears to have been there for at least two weeks before anyone noticed, unclear what data it accessed",malware,high,
RPT-0038,2026-09-05 23:38:00,"Multiple staff reporting the same thing this morning: locked out of accounts, recovery details changed, no memory of doing it themselves. Might be connected.",account_takeover,high,
RPT-0008,2026-09-05 23:57:00,"small thing but weird - got a WhatsApp message from a number saved as 'IT Support' asking me to send my login details for a 'system check'. I didn't respond, blocked the number",phishing,low,
RPT-0155,2026-09-06 04:13:00,"The IT admin account was used to disable a security alert rule at 4am, none of the three people with access to that account were awake or working at that hour according to their statements",account_takeover,high,
RPT-0125,2026-09-06 07:45:00,Our office WhatsApp group has been getting the same forwarded message for two days now claiming free data bundles if you click a link and enter your phone number and network PIN. Multiple people almost tried it before someone flagged it as fake.,phishing,medium,
RPT-0002,2026-09-06 09:36:00,"our whole office got the same email today, subject line said 'urgent payroll update required', link went to some site that wasn't our normal one. nobody clicked as far as I know",phishing,low,
RPT-0145,2026-09-06 09:50:00,"dem don change the recovery phone number for my staff email without my permission, I only found out because I tried to reset my password and the OTP went somewhere else",account_takeover,high,
RPT-0172,2026-09-06 10:11:00,"Everyone in HR is reporting the exact same popup ad appearing on their screens randomly throughout the day, even on different websites, seems like adware spread through the department somehow",malware,low,
RPT-0140,2026-09-06 13:07:00,"Got an email today claiming my mailbox was full and I needed to click a link to 'increase storage', went to a page asking for my email password, closed it immediately without entering anything.",phishing,low,
RPT-0203,2026-09-06 20:10:00,"small one, someone's ID card was used to badge into the building twice within two minutes at two different entrances, which shouldn't be physically possible",suspicious_activity,medium,
RPT-0049,2026-09-07 00:20:00,I opened an attachment from what looked like a normal invoice email and now my laptop fan won't stop running and it's noticeably hotter than usual,malware,medium,
RPT-0184,2026-09-07 01:21:00,"dem discover say old application forms with full ID numbers still dey inside one drawer wey no lock for the front office, anybody wey pass fit see am",data_leak,low,
RPT-0185,2026-09-07 04:14:00,"A former IT contractor's access to our cloud storage was never fully revoked, and login logs show activity on that account as recently as last week, well after their contract ended.",data_leak,high,
RPT-0229,2026-09-07 08:31:00,Security noticed an unfamiliar device connecting to the office WiFi at the same time every day for the past week.,suspicious_activity,medium,
RPT-0230,2026-09-07 14:05:27,"Update on the recurring WiFi device, network logs now show it also attempted to reach an internal file server twice yesterday.",suspicious_activity,medium,RPT-0229
RPT-0120,2026-09-07 15:05:00,"Update on the overnight login attempts, the same IP has now tried two other admin accounts this morning, all still failing.",account_takeover,high,
RPT-0007,2026-09-07 16:24:00,I entered my email and password on what I thought was our staff portal after clicking a link from what looked like an HR notice. Realized after logging in that the URL was wrong. Already reported to IT and changed password.,phishing,high,
RPT-0109,2026-09-07 16:30:00,"An employee reported receiving a call from someone claiming to be doing a 'security audit' and asking oddly specific questions about our internal systems, they didn't answer and hung up",suspicious_activity,medium,
RPT-0107,2026-09-07 20:03:00,"nothing serious but a delivery person was seen taking photos of the building entrance and badge reader, security asked them to stop and they left without explanation",suspicious_activity,medium,
RPT-0108,2026-09-07 21:42:37,"just noting, one of the meeting room smart displays has been showing a login prompt it's never shown before, might just be a software update",suspicious_activity,low,RPT-0107
RPT-0110,2026-09-07 22:06:46,"Server logs show a spike in failed login attempts across multiple accounts around 3am, no successful breaches detected but the timing and spread across accounts felt coordinated",suspicious_activity,medium,RPT-0109
RPT-0126,2026-09-08 06:56:00,"dem send one email wey resemble our exam portal talk say result don ready, make you click link enter your login. I check the sender address, e no match our real domain at all",phishing,low,
RPT-0162,2026-09-08 06:56:00,"A file shared in our team's group chat turned out to be disguised as a PDF but was actually an executable, one person opened it before others warned them not to, that machine is now being checked",malware,medium,
RPT-0035,2026-09-08 09:49:00,"small issue, I got a notification that my account password was changed but I never requested it, changed it back immediately, nothing seems to have been touched otherwise",account_takeover,medium,
RPT-0148,2026-09-08 12:45:00,"we noticed unusual admin activity granting elevated permissions to a temporary contractor account that should have expired months ago, revoked access immediately",account_takeover,high,
RPT-0031,2026-09-08 14:23:00,"Just noticed my email's 'sent' folder has messages I never wrote, sent to addresses I don't recognize, over the past two days.",account_takeover,high,
RPT-0128,2026-09-08 14:44:00,"Just a general warning to the team, there's a new wave of fake job offer emails going around targeting recent graduates, asking for an 'application processing fee' via bank transfer.",phishing,low,
RPT-0164,2026-09-08 16:27:00,"small thing but our office printer keeps randomly printing blank pages with strange codes on them since this morning, might just be a hardware glitch though",malware,low,
RPT-0071,2026-09-08 17:39:00,"small thing but worth flagging, an old staff list with phone numbers got left in a public folder that anyone with the link can view",data_leak,low,
RPT-0083,2026-09-08 18:28:00,"A research assistant forwarded unpublished lab results to a personal email address before leaving the project, this may have crossed into confidentiality territory but wasn't shared beyond that",data_leak,medium,
RPT-0188,2026-09-08 20:21:00,"small leak but worth noting, a WhatsApp status posted by a staff member briefly showed a screenshot with a customer's full details visible in the background before it was taken down",data_leak,low,
RPT-0080,2026-09-09 02:55:00,"small leak, one intern shared their screen during a call and briefly had a spreadsheet with a few staff addresses visible, likely seen by external partners on the call",data_leak,low,
RPT-0153,2026-09-09 11:08:00,"My teammate's Slack account posted a message in a client channel that doesn't sound like anything she'd write, she says she wasn't even online at that time",account_takeover,medium,
RPT-0058,2026-09-10 02:01:00,"Reporting suspicious process running in the background on the finance department's shared computer, consuming unusually high CPU, IT hasn't looked at it yet",malware,medium,
RPT-0022,2026-09-10 09:11:00,"Received a spoofed email that appeared to come from my own university email address, asking me to click a link to 'recover a locked account'. Did not click, reported to IT immediately.",phishing,low,
RPT-0161,2026-09-10 09:15:00,"Just noticed my work laptop fan running at full speed constantly even when I'm not doing anything demanding, battery also draining way faster than usual over the past two days",malware,low,
RPT-0195,2026-09-10 11:42:00,"small thing, a printed attendance sheet with full names and phone numbers was left on a table in a public event hall after a workshop ended",data_leak,low,
RPT-0074,2026-09-10 20:50:00,"Just noticed a public GitHub repo from one of our developers has database credentials hardcoded in it, taking it down now, unsure how long it's been exposed",data_leak,high,
RPT-0098,2026-09-10 22:26:00,"Firewall logs show repeated connection attempts to an internal server from an external IP overnight, all blocked, but the pattern looks deliberate rather than random",suspicious_activity,medium,
RPT-0193,2026-09-10 23:20:00,"we don find out say the survey form wey students dey fill get their result and personal info wey link to their public profile, na mistake wey happen since last semester",data_leak,medium,
RPT-0101,2026-09-11 00:14:00,"just flagging, one of our public-facing pages loaded noticeably slower than usual for about an hour yesterday evening, could be nothing but wanted it on record",suspicious_activity,low,
RPT-0227,2026-09-11 02:00:00,An account with admin-level access made a permissions change at 4am that none of the actual admins recall doing.,account_takeover,high,
RPT-0102,2026-09-11 02:56:03,"Security noticed a car parked outside the building for several hours with someone inside apparently using a laptop, left before anyone could ask what they were doing",suspicious_activity,low,RPT-0101
RPT-0036,2026-09-11 03:10:00,Account for one of our contract staff appears to have been used to download student records outside of working hours over the weekend. Staff says they were not the one accessing it.,account_takeover,high,
RPT-0228,2026-09-11 03:22:45,"More on the 4am admin account activity, we've now confirmed the same account also disabled two security alerts around the same time.",account_takeover,high,RPT-0227
RPT-0016,2026-09-11 06:48:00,"someone in admissions clicked a fake application portal link and entered the office's shared login, the attacker may now have access to that shared inbox, this needs urgent attention",phishing,high,
RPT-0119,2026-09-11 07:33:00,"Multiple failed admin login attempts detected from an unrecognized IP address overnight, account was temporarily locked as a precaution.",account_takeover,medium,
RPT-0089,2026-09-11 07:52:00,Not sure if this is anything but our server room door alarm went off twice last night with no one scheduled to be there,suspicious_activity,low,
RPT-0213,2026-09-11 08:32:00,"we notice say network speed dey drop anytime around same time every evening, no be normal usage pattern, dey investigate if na something dey run for background",suspicious_activity,low,
RPT-0026,2026-09-11 08:46:00,My colleague's account sent out an email to the whole department that she says she never wrote. We think someone else had access.,account_takeover,medium,
RPT-0006,2026-09-11 11:48:00,"this is the third time this week someone in finance got an email pretending to be the CFO asking for an urgent wire transfer, none of them acted on it but wanted to flag the pattern",phishing,medium,
RPT-0205,2026-09-11 13:25:00,"we get alert say network traffic spike happen last night around 1am from one office computer, way more than that machine dey normally use, nobody suppose dey around that time",suspicious_activity,medium,
RPT-0061,2026-09-11 16:55:00,"small alert, our firewall blocked an outbound connection attempt to an unfamiliar IP from one of the lab machines, didn't reach anything but flagging it",malware,medium,
RPT-0218,2026-09-11 18:03:00,"Two staff separately mentioned getting a strange automated call asking them to press a number to 'verify their extension', neither of them pressed anything but both found it unusual enough to mention",suspicious_activity,medium,
RPT-0092,2026-09-11 18:10:00,"just a weird one, my computer's mouse cursor moved on its own for about ten seconds this afternoon while I stepped away, might be nothing",suspicious_activity,low,
RPT-0211,2026-09-11 19:20:00,"An IT ticket was submitted requesting access changes for a system, but nobody on the IT team recalls receiving or processing it, currently trying to trace where it originated",suspicious_activity,medium,
RPT-0017,2026-09-11 22:07:00,"just curious if anyone else got the email about 'mandatory 2FA setup' with a weird external link this morning, I didn't trust it so I didn't open it",phishing,low,
RPT-0064,2026-09-11 22:16:00,"I dey notice my system dey open strange website by itself anytime I no dey touch anything, e don happen like three times today",malware,medium,
RPT-0175,2026-09-12 05:32:00,"Just a small one, got a warning from our email filter that an outgoing message from one of our accounts contained a known malware signature, the account owner says they never sent it",malware,medium,
RPT-0177,2026-09-12 07:05:00,"Confirmed keylogger on the shared reception desk computer, IT found it during a routine check, unclear how long it had been there or what was captured since multiple staff use that machine daily",malware,high,
RPT-0082,2026-09-12 11:23:00,"Just found that our backup files, including what looks like admissions data going back five years, are stored on an S3 bucket that's set to public by default",data_leak,high,
RPT-0005,2026-09-12 11:29:00,"A colleague forwarded me a message claiming to be from our bank's fraud department, asking to call a number and confirm a transaction that never happened. She didn't call. Sharing for awareness.",phishing,low,
RPT-0204,2026-09-12 14:46:00,"A staff member noticed their desk drawer, which they always lock, was unlocked when they arrived this morning, nothing appears to be missing but it felt off",suspicious_activity,low,
RPT-0137,2026-09-12 18:36:00,"An external partner's email account seems compromised, we've started receiving strange 'shared document' links from their address that weren't sent by them, verified this with them directly on a call.",phishing,medium,
RPT-0113,2026-09-13 06:59:00,"The server room camera caught an unfamiliar person near the racks late last night, badge didn't match anyone on staff.",suspicious_activity,medium,
RPT-0151,2026-09-13 07:41:00,"Just a heads up, noticed my email inbox had unread messages marked as read that I never opened, small thing but felt odd enough to mention",account_takeover,low,
RPT-0045,2026-09-13 08:55:00,"My computer has been unbearably slow since Tuesday, opening random tabs by itself, I think it's a virus but haven't confirmed",malware,low,
RPT-0189,2026-09-13 09:30:00,"URGENT, our entire customer database export, including names, phone numbers, and partial payment info, was found on a public code repository uploaded by a developer who forgot to remove it before making the repo public",data_leak,high,
RPT-0142,2026-09-13 11:26:00,"Someone used a staff account to approve a purchase order for equipment nobody ordered, the actual staff member was on leave the entire week and had no access to their laptop.",account_takeover,high,
RPT-0075,2026-09-13 11:36:00,"one student complain say im matric number and result appear for one group chat wey no suppose see am, we still dey find out how e come reach there",data_leak,medium,
RPT-0096,2026-09-13 12:26:00,A staff member reported seeing an unfamiliar device connected to the office WiFi that isn't registered to anyone on the team,suspicious_activity,medium,
RPT-0086,2026-09-13 14:51:00,"A shared calendar invite accidentally included dial-in details and an internal document link meant only for the executive team, sent to the entire staff mailing list",data_leak,low,
RPT-0004,2026-09-13 20:24:00,"Pls help, I dey receive message everyday say my account go close if I no verify. Today one look almost real, I nearly enter my details but network cut before I finish",phishing,medium,
RPT-0034,2026-09-13 23:30:00,The finance portal logged an admin-level password change request that none of our three admins made. We're locking down access while we investigate.,account_takeover,high,
RPT-0067,2026-09-13 23:37:00,Someone accidentally CC'd the entire staff list instead of BCC on an email containing salary information for the whole department,data_leak,high,
RPT-0029,2026-09-13 23:51:00,"I dey try login since morning, e keep saying wrong password, I never forget my password before o. Somebody don change am",account_takeover,medium,
RPT-0225,2026-09-14 00:10:00,"Three machines in the same office row are showing identical malware symptoms, seems to be spreading across the local network.",malware,high,
RPT-0226,2026-09-14 07:12:48,"Following up on the malware spreading in that office, a fourth machine on the same switch just started showing the same symptoms this afternoon.",malware,high,RPT-0225
RPT-0062,2026-09-14 12:05:00,"The whole department's shared printer queue got flooded with garbage print jobs overnight, wasted almost a ream of paper, not sure if malicious or just a glitch",malware,low,
RPT-0053,2026-09-14 16:13:00,"just noting this in case it's related, our email server has been sending unusually large volumes of outbound mail overnight, way more than normal traffic",malware,medium,
RPT-0146,2026-09-14 16:34:00,"Small alert here, my login session appeared active on the dashboard even though I was logged out on my end, closed all sessions remotely just to be safe",account_takeover,low,
RPT-0157,2026-09-14 21:58:00,"An intern's account somehow gained access to a restricted folder they were never granted permission for, unclear if this was a misconfiguration or the account itself being misused",account_takeover,medium,
RPT-0174,2026-09-15 07:53:00,"we don confirm say na the same malware wey affect finance last month don show up again for a different department computer, seems like it never fully got removed the first time",malware,high,
RPT-0196,2026-09-15 12:28:00,Confirmed that a mobile app we built for internal use was accidentally publishing users' location data to a third-party analytics service that wasn't part of our original agreement with them,data_leak,medium,
RPT-0100,2026-09-15 15:42:00,"URGENT-ish, someone tried the server room keycard access three times with a card that was reported lost two weeks ago",suspicious_activity,medium,
RPT-0094,2026-09-15 16:33:00,"small thing, one visitor badge that should have been deactivated last month was used to enter the building yesterday",suspicious_activity,low,
RPT-0169,2026-09-16 02:03:00,"dem tok say the virus enter through one USB wey somebody bring from outside plug for the lab computer, now three computers for that lab dey act up",malware,high,
RPT-0090,2026-09-16 02:12:00,"IP address 197.210.54.12 has tried the admin login six times in the past twenty minutes, none successful, account is now temporarily locked",suspicious_activity,medium,
RPT-0221,2026-09-16 08:54:00,"The finance department received a fake invoice email today impersonating one of our regular suppliers, asking for payment to a new account number.",phishing,medium,
RPT-0222,2026-09-16 12:22:48,"Follow-up on the fake supplier invoice from earlier, accounts payable confirms they nearly processed the payment before someone called the supplier directly and found out it was fraudulent.",phishing,high,RPT-0221
RPT-0037,2026-09-16 15:39:00,"I dey suspect say my login don compromise because my inbox get one folder wey I never create, and inside am get some email wey no be my style at all",account_takeover,medium,
RPT-0207,2026-09-16 17:16:00,"An automated system flagged repeated attempts to access a decommissioned server that's been offline for months, someone or something is still trying to reach it",suspicious_activity,medium,
RPT-0144,2026-09-16 19:33:00,"The registrar's office noticed an account editing student records outside normal working hours for the second time this month, same account both times, currently investigating whether it's the actual staff member or someone else",account_takeover,high,
RPT-0033,2026-09-16 19:38:00,"she dey complain say her online banking dey show transaction wey she never do, she never lost money yet but she don freeze the account herself",account_takeover,medium,
RPT-0043,2026-09-16 23:41:00,"we got an alert that an admin account tried to grant itself extra permissions it shouldn't have, blocked before it went through, but wanted this logged",account_takeover,medium,
RPT-0073,2026-09-17 12:03:00,"URGENT: our entire fee payment records for the past three years, roughly 3000 students, were found on a personal Google Drive belonging to someone who left the department in March. Unclear if it was shared further.",data_leak,high,
RPT-0042,2026-09-17 16:06:00,"I noticed two-factor authentication got disabled on my account without me touching it, turned it back on right away, unsure how long it was off",account_takeover,medium,
RPT-0056,2026-09-17 19:00:00,"The HR shared drive is inaccessible, files are showing as corrupted or renamed with strange extensions, this started right after someone opened an attachment from an unfamiliar sender.",malware,high,
RPT-0118,2026-09-17 19:23:00,"Confirming the student records leak from earlier, the exposed file has now also been found cached on at least one third-party search result.",data_leak,high,
RPT-0173,2026-09-17 20:28:00,"My computer restarted on its own twice today and afterward a program I don't recognize was running in the task manager, ended the process but wanted to report it",malware,medium,
RPT-0070,2026-09-17 22:29:00,"Contractor who finished their project last month still has access to our client database and appears to have downloaded a large export before their access was revoked, we only just noticed",data_leak,high,
RPT-0072,2026-09-18 04:20:00,"dem mistakenly forward an email wey get customer bank details to over 100 people wey no suppose see am, na finance team notice am before dem quick recall the email but people don already open am",data_leak,high,
RPT-0199,2026-09-18 07:52:00,"dem talk say one staff wey resign last year still fit access the shared customer file, nobody remove am from the permission list",data_leak,medium,
RPT-0163,2026-09-18 08:24:00,"Reporting a serious issue, the shared drive for the whole finance wing is now completely encrypted, every folder shows the same unfamiliar extension and there's a note demanding payment, we cannot process anything until this is resolved",malware,high,
RPT-0050,2026-09-18 13:27:00,"URGENT. The entire records server is encrypted, every file has a .lockednow extension, there's a ransom note demanding payment in crypto, we cannot access anything and this affects hundreds of staff files.",malware,high,
RPT-0085,2026-09-18 14:27:00,"Discovered that an old version of our website has a publicly accessible admin panel with test data still loaded, including some real-looking customer entries mixed in",data_leak,medium,
RPT-0040,2026-09-18 14:58:00,"The registrar's shared login was used to alter grades for a handful of students last week, we only caught it during a routine audit today.",account_takeover,high,
RPT-0066,2026-09-18 15:11:00,"just a heads up, got a warning from our email provider that one of our addresses may be compromised and sending spam, we've reset the password as a precaution",malware,medium,
RPT-0133,2026-09-18 16:49:00,"Getting reports from three separate departments today about the same phishing email with subject 'Action Required: Password Expiry', seems to be a coordinated push targeting the whole institution at once.",phishing,medium,
RPT-0132,2026-09-18 20:16:00,"The fake portal that's been going around finally got someone, a colleague in the library confirmed she entered her staff ID and password before the page redirected oddly and she got suspicious.",phishing,high,
RPT-0197,2026-09-19 11:48:00,"An email newsletter tool we use exposed subscriber email addresses to each other through a misconfigured 'reply all' setting on a recent campaign, affecting a few hundred recipients",data_leak,medium,
RPT-0117,2026-09-19 12:15:00,"Student records export with names and scores was found sitting on a public subdomain, indexed by search engines.",data_leak,high,
RPT-0095,2026-09-19 14:10:00,"something no just correct, our internet don dey slow since this morning and nobody dey do anything heavy for the network as far as I sabi",suspicious_activity,low,
RPT-0025,2026-09-20 10:13:00,"we noticed a staff account making changes to payroll records at 3am, a time nobody on that team has ever worked. account is locked now but damage assessment is ongoing",account_takeover,high,
RPT-0012,2026-09-20 12:51:00,"A student reported receiving repeated phishing attempts through the school's official-looking portal login page, someone had cloned it exactly, down to the favicon. At least two students admitted entering their credentials before noticing.",phishing,high,
RPT-0129,2026-09-20 13:06:00,"I almost fell for it honestly, the email looked exactly like our HR department's usual formatting, right logo and everything, asking me to verify my bank details for 'salary review'. Didn't click through in the end.",phishing,medium,
RPT-0032,2026-09-20 13:36:00,"A departed staff member's account is still active and someone logged into it yesterday, three months after they left the organization.",account_takeover,high,
RPT-0192,2026-09-20 14:10:00,"A staff member's unattended computer screen displayed a spreadsheet with donor contact information during a video call that was being recorded for training purposes, we need to check if the recording is stored anywhere accessible",data_leak,medium,
RPT-0115,2026-09-20 19:57:00,"Ransomware note found on the finance shared drive this morning, files locked with a strange extension, unclear how it got in.",malware,high,
RPT-0147,2026-09-21 02:52:00,"A vendor account with access to our procurement system was used to submit an invoice for a service we never requested, the real vendor confirmed they didn't send it and their own systems show no record of it either",account_takeover,high,
RPT-0200,2026-09-21 06:31:00,"A security researcher reached out saying they found one of our internal API endpoints exposing user data without authentication, we're verifying this now before responding to them",data_leak,high,
RPT-0027,2026-09-21 18:39:00,"Somebody don login enter my WhatsApp Business wey I dey use for customer support, dem don start to reply customer with different tone, I just notice am now",account_takeover,high,
RPT-0202,2026-09-21 21:08:00,"Network team flagged a device that's been connecting to our guest WiFi at the same time every day for the past week, staying connected for exactly the same duration, which feels oddly deliberate",suspicious_activity,medium,
RPT-0068,2026-09-21 23:14:00,"a spreadsheet with about 40 student records got shared to the wrong WhatsApp group by mistake, admin has since deleted it from the group but people may have already seen it",data_leak,medium,
RPT-0149,2026-09-21 23:35:00,"I no fit login this morning, e keep saying account dey locked, I no lock am myself and I no try wrong password up to that number before",account_takeover,medium,
RPT-0047,2026-09-22 05:48:00,Antivirus caught something trying to run at startup this morning and quarantined it before I even noticed anything wrong. Not sure what it was trying to do.,malware,low,
RPT-0084,2026-09-22 08:54:00,"customer complain say another person receive their delivery details, name, address, phone number for text message wey no suppose reach them",data_leak,medium,
RPT-0135,2026-09-22 15:14:00,"I don receive this same message three times now, dem dey pretend say na court summon, make you click link see full details. E be scam, I don report am for the group",phishing,low,
RPT-0186,2026-09-22 23:08:00,"Someone accidentally attached the wrong file to a mass email, instead of the newsletter it included an internal spreadsheet with partial salary bands for three departments",data_leak,medium,
RPT-0181,2026-09-23 10:49:00,A staff member's personal phone with unsynced work emails including some containing student medical information was stolen from their car over the weekend,data_leak,high,
RPT-0170,2026-09-23 13:41:00,"small alert, one of our external-facing web pages is loading extremely slowly and occasionally redirecting to an unrelated site for a few seconds before loading properly, might be compromised",malware,medium,
RPT-0122,2026-09-23 19:03:00,"I dey receive different email everyday wey claim say na from NITDA asking make I click link to 'renew certification'. The grammar dey off small so I no trust am, never click",phishing,low,
RPT-0103,2026-09-24 01:17:00,"we get alert say one account try access three different systems within two minutes, wey no normal for how our staff dey work",suspicious_activity,medium,
RPT-0152,2026-09-24 02:46:00,"Multiple accounts across different departments were all locked out around the same time this morning after failed login attempts, seems coordinated rather than coincidental",account_takeover,high,
RPT-0104,2026-09-24 05:35:38,"Not confirmed as anything yet, but the finance office's shared printer has been printing test pages with what looks like configuration data on them intermittently",suspicious_activity,low,RPT-0103
RPT-0018,2026-09-24 07:58:00,"Warning to everyone: fraudsters are calling staff pretending to be from IT, asking them to read out the OTP sent to their phone 'for verification'. One person nearly did before hanging up.",phishing,medium,
RPT-0159,2026-09-24 10:30:00,"Someone attempted to reset the password on the shared department email three times within ten minutes using the 'forgot password' link, none of us initiated it",account_takeover,medium,
RPT-0154,2026-09-24 10:31:00,"account don get access from one device wey no be my own, I see am for the login history, I never gree give anybody my password before",account_takeover,medium,
RPT-0121,2026-09-24 12:32:00,The bank sent out a notice warning that fraudsters are impersonating their customer care line and asking people to 'confirm' their card PIN over the phone. Nobody at our office has fallen for it yet.,phishing,low,
RPT-0223,2026-09-24 17:35:00,"A cloud storage bucket containing old audit reports has been publicly accessible, we're still figuring out how long it's been exposed.",data_leak,high,
RPT-0201,2026-09-24 21:19:00,"Just noting something odd, the office lights in the server area turned on automatically last night according to the motion sensor logs, but no one was scheduled to be there",suspicious_activity,low,
RPT-0224,2026-09-24 21:27:39,"Update on the exposed audit reports, our web team confirms the bucket has been public since at least three months ago based on the configuration change logs.",data_leak,high,RPT-0223
